,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Le vent nous portera,0.672,0.721,4,-9.655,0,0.0621,0.738,0.0389,0.122,0.798,105.225,audio_features,2g4oQ1siRRrg8yAkQLVx0c,spotify:track:2g4oQ1siRRrg8yAkQLVx0c,https://api.spotify.com/v1/tracks/2g4oQ1siRRrg8yAkQLVx0c,https://api.spotify.com/v1/audio-analysis/2g4oQ1siRRrg8yAkQLVx0c,288747,4
1,Spinning Centers,0.361,0.166,2,-18.024,0,0.0301,0.932,0.435,0.116,0.0802,87.016,audio_features,5YajHujttgqCL5EHFPW2ym,spotify:track:5YajHujttgqCL5EHFPW2ym,https://api.spotify.com/v1/tracks/5YajHujttgqCL5EHFPW2ym,https://api.spotify.com/v1/audio-analysis/5YajHujttgqCL5EHFPW2ym,189232,4
2,Cheers Darlin',0.549,0.112,9,-17.846,0,0.0482,0.697,0.000507,0.165,0.103,113.552,audio_features,6sxBLLKfLjVaTg5KE4Cy75,spotify:track:6sxBLLKfLjVaTg5KE4Cy75,https://api.spotify.com/v1/tracks/6sxBLLKfLjVaTg5KE4Cy75,https://api.spotify.com/v1/audio-analysis/6sxBLLKfLjVaTg5KE4Cy75,350227,3
3,Back to You,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,audio_features,4hQ6UGyWQIGJmHSo0J88JW,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,207905,4
4,Darling,0.54,0.282,0,-9.681,1,0.0313,0.84,0.0,0.21,0.597,86.942,audio_features,1rFyZV4VIaHywtIUAvY7cI,spotify:track:1rFyZV4VIaHywtIUAvY7cI,https://api.spotify.com/v1/tracks/1rFyZV4VIaHywtIUAvY7cI,https://api.spotify.com/v1/audio-analysis/1rFyZV4VIaHywtIUAvY7cI,182000,4
5,Bella Ciao,0.667,0.754,9,-2.861,0,0.0715,0.214,0.0,0.0532,0.693,104.987,audio_features,1bHhB1E62CqbM3uVZVvaEl,spotify:track:1bHhB1E62CqbM3uVZVvaEl,https://api.spotify.com/v1/tracks/1bHhB1E62CqbM3uVZVvaEl,https://api.spotify.com/v1/audio-analysis/1bHhB1E62CqbM3uVZVvaEl,160177,4
6,Screams and Dreams,0.417,0.0362,0,-16.486,1,0.0413,0.944,3e-06,0.0729,0.122,78.045,audio_features,2CqfqNtxS6g3G0kWWZGGK3,spotify:track:2CqfqNtxS6g3G0kWWZGGK3,https://api.spotify.com/v1/tracks/2CqfqNtxS6g3G0kWWZGGK3,https://api.spotify.com/v1/audio-analysis/2CqfqNtxS6g3G0kWWZGGK3,257812,4
7,City Of Stars,0.585,0.0809,6,-19.346,0,0.0523,0.954,0.0233,0.0935,0.204,98.379,audio_features,5BMwpS4iYKR30kq9U9beaT,spotify:track:5BMwpS4iYKR30kq9U9beaT,https://api.spotify.com/v1/tracks/5BMwpS4iYKR30kq9U9beaT,https://api.spotify.com/v1/audio-analysis/5BMwpS4iYKR30kq9U9beaT,111240,4
8,Night After Night,0.678,0.435,2,-11.931,1,0.362,0.138,0.0,0.09,0.146,114.009,audio_features,4rq65h5Kz3LyEXWWmq3uOd,spotify:track:4rq65h5Kz3LyEXWWmq3uOd,https://api.spotify.com/v1/tracks/4rq65h5Kz3LyEXWWmq3uOd,https://api.spotify.com/v1/audio-analysis/4rq65h5Kz3LyEXWWmq3uOd,212781,4
9,These Walls,0.752,0.489,1,-5.233,1,0.137,0.11,3.57e-06,0.202,0.373,108.005,audio_features,7uWVT3UkCAZyANvv0bdyQn,spotify:track:7uWVT3UkCAZyANvv0bdyQn,https://api.spotify.com/v1/tracks/7uWVT3UkCAZyANvv0bdyQn,https://api.spotify.com/v1/audio-analysis/7uWVT3UkCAZyANvv0bdyQn,300973,4
10,Why Can't I Have You,0.827,0.195,7,-17.651,1,0.0638,0.662,0.141,0.0987,0.229,137.966,audio_features,2FpzO4dqbCUPtZUQDjcLL3,spotify:track:2FpzO4dqbCUPtZUQDjcLL3,https://api.spotify.com/v1/tracks/2FpzO4dqbCUPtZUQDjcLL3,https://api.spotify.com/v1/audio-analysis/2FpzO4dqbCUPtZUQDjcLL3,285209,4
11,U-Turn (Lili),0.618,0.543,0,-7.181,1,0.0247,0.381,0.000269,0.103,0.135,75.033,audio_features,2UvF46hdhN20q87AiVJIUI,spotify:track:2UvF46hdhN20q87AiVJIUI,https://api.spotify.com/v1/tracks/2UvF46hdhN20q87AiVJIUI,https://api.spotify.com/v1/audio-analysis/2UvF46hdhN20q87AiVJIUI,230000,4
12,"Love Story (From ""Love Story"")",0.399,0.303,9,-13.83,0,0.0297,0.444,0.311,0.219,0.103,137.877,audio_features,0mlq8xJpa8H1m1DFJ7ai4K,spotify:track:0mlq8xJpa8H1m1DFJ7ai4K,https://api.spotify.com/v1/tracks/0mlq8xJpa8H1m1DFJ7ai4K,https://api.spotify.com/v1/audio-analysis/0mlq8xJpa8H1m1DFJ7ai4K,179440,4
13,Ceux qui rêvent,0.432,0.419,8,-8.018,0,0.0346,0.869,7.94e-05,0.103,0.658,133.713,audio_features,7as88HhLbDLgobaSbJrVBs,spotify:track:7as88HhLbDLgobaSbJrVBs,https://api.spotify.com/v1/tracks/7as88HhLbDLgobaSbJrVBs,https://api.spotify.com/v1/audio-analysis/7as88HhLbDLgobaSbJrVBs,118387,4
14,Lilac Wine,0.262,0.0847,7,-16.413,1,0.04,0.827,4.82e-05,0.0938,0.0693,180.562,audio_features,1StXVL5gClph4z4XzanYko,spotify:track:1StXVL5gClph4z4XzanYko,https://api.spotify.com/v1/tracks/1StXVL5gClph4z4XzanYko,https://api.spotify.com/v1/audio-analysis/1StXVL5gClph4z4XzanYko,272920,3
15,Theme From Schindler's List,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,audio_features,42gZM6AQ9BDMaTyTmMDVlN,spotify:track:42gZM6AQ9BDMaTyTmMDVlN,https://api.spotify.com/v1/tracks/42gZM6AQ9BDMaTyTmMDVlN,https://api.spotify.com/v1/audio-analysis/42gZM6AQ9BDMaTyTmMDVlN,255693,1
16,Snowball in Negative,0.229,0.21,2,-13.793,0,0.0355,0.906,0.261,0.0878,0.197,147.9,audio_features,5tBBB0df8gxtGqScJptCcc,spotify:track:5tBBB0df8gxtGqScJptCcc,https://api.spotify.com/v1/tracks/5tBBB0df8gxtGqScJptCcc,https://api.spotify.com/v1/audio-analysis/5tBBB0df8gxtGqScJptCcc,280213,3
17,What It Really Takes to Be Great (Motivational Speech),0.532,0.761,7,-10.549,1,0.34,0.27,0.0,0.104,0.378,129.219,audio_features,1lJcLUc9wLFcTIaCtVMEbz,spotify:track:1lJcLUc9wLFcTIaCtVMEbz,https://api.spotify.com/v1/tracks/1lJcLUc9wLFcTIaCtVMEbz,https://api.spotify.com/v1/audio-analysis/1lJcLUc9wLFcTIaCtVMEbz,260072,5
18,Bird Gerhl - Live,0.247,0.227,1,-13.503,1,0.0484,0.953,0.0255,0.948,0.178,179.206,audio_features,6Jw8hIRe55TKP9AsABT4W8,spotify:track:6Jw8hIRe55TKP9AsABT4W8,https://api.spotify.com/v1/tracks/6Jw8hIRe55TKP9AsABT4W8,https://api.spotify.com/v1/audio-analysis/6Jw8hIRe55TKP9AsABT4W8,202133,4
19,Dust to Dust,0.744,0.273,1,-14.149,1,0.0351,0.748,0.0255,0.11,0.194,138.016,audio_features,0vwRHdpyDLRchRBtMjjjBH,spotify:track:0vwRHdpyDLRchRBtMjjjBH,https://api.spotify.com/v1/tracks/0vwRHdpyDLRchRBtMjjjBH,https://api.spotify.com/v1/audio-analysis/0vwRHdpyDLRchRBtMjjjBH,229667,4
